"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gnpat",2.9165152844017e-84,-1.06800560219518,0.465,0.054,8.74954585320511e-81
"Wdr43",4.2257550004364e-82,-0.802693935610472,0.318,0.089,1.26772650013092e-78
"B3gnt4",2.42788379293112e-80,-2.39345581057518,0.615,0.156,7.28365137879337e-77
"LOC100911055",1.09375449201837e-78,-2.24578935308476,0.463,0.096,3.28126347605512e-75
"Sdr39u1",6.15653643372861e-77,-1.62456779913199,0.23,0.047,1.84696093011858e-73
"Mthfd2",1.02678555740691e-76,-0.879869692256183,0.309,0.082,3.08035667222073e-73
"Clns1a",2.36820116109994e-76,-1.5217349068806,0.277,0.055,7.10460348329981e-73
"Scg2",3.16412393919978e-76,-1.79792959427941,0.502,0.042,9.49237181759934e-73
"Rcn3",1.28300589585528e-75,-2.16240120412938,0.35,0.074,3.84901768756584e-72
"Cdh11",1.94640147990904e-75,-2.58795131869537,0.525,0.044,5.83920443972711e-72
"Cdkn3",2.69069457723101e-72,-2.20439295769769,0.297,0.044,8.07208373169302e-69
"Exosc1",3.35757642629222e-71,-1.63023169503577,0.205,0.062,1.00727292788767e-67
"R3hcc1",1.87046561536532e-70,-4.2136121581136,0.348,0.065,5.61139684609596e-67
"Foxf1",3.9597441745032e-70,-1.77936472537792,0.488,0.064,1.18792325235096e-66
"Aqp4",6.73595616338179e-70,-3.78668822353467,0.279,0.037,2.02078684901454e-66
"Pitpnm2",7.80155948896295e-70,-3.17587319662665,0.229,0.049,2.34046784668888e-66
"Stk39",9.53035805465028e-70,-1.73182259470662,0.291,0.086,2.85910741639508e-66
"Mms22l",1.12085065842303e-68,-2.86875029547298,0.408,0.035,3.36255197526909e-65
"Ndc80",2.3266942568723e-68,-3.36732136831412,0.127,0.039,6.9800827706169e-65
"Tubb6",7.87231292924266e-68,-3.75168433397276,0.174,0.027,2.3616938787728e-64
"Wfdc21",8.16159706677365e-68,-1.28079968637069,0.527,0.064,2.4484791200321e-64
"Znrd2",9.71534670651064e-68,-1.55284528065609,0.15,0.121,2.91460401195319e-64
"Fpgs",7.77031352668398e-67,-3.03426562211281,0.258,0.069,2.33109405800519e-63
"Shmt1",8.88232258956163e-67,-1.29331407625703,0.102,0.064,2.66469677686849e-63
"Dph5",4.65636439249467e-65,-4.03055413728451,0.275,0.032,1.3969093177484e-61
"Rbp1",1.8343875021343e-64,-3.08007010551767,0.211,0.052,5.50316250640289e-61
"Mak16",1.9746355686298e-64,-1.42456011563097,0.207,0.057,5.92390670588939e-61
"Fbf1",1.25776381687916e-63,-1.77211412220835,0.238,0.042,3.77329145063749e-60
"Dtx3",1.32345496283495e-63,-1.38156549204209,0.342,0.057,3.97036488850486e-60
"Ttk",4.68176680518237e-63,-2.94316828402029,0.121,0.04,1.40453004155471e-59
"ENSRNOG00000065110",5.16473556838165e-63,-2.83568720812556,0.238,0.065,1.5494206705145e-59
"Psat1",1.0996705334617e-62,-0.840840225799392,0.186,0.074,3.29901160038511e-59
"Mcm4",2.3663095150687e-62,-2.02694492153404,0.191,0.052,7.09892854520609e-59
"Rrp15",4.49732488899698e-61,-2.57278841597444,0.459,0.042,1.34919746669909e-57
"Mis18a",7.15197558157222e-61,-3.3712654480617,0.189,0.04,2.14559267447167e-57
"Mtrex",7.90042350506136e-61,-4.48634666957695,0.336,0.049,2.37012705151841e-57
"Itgae.1",2.81018048157478e-60,-0.581466574315113,0.533,0.097,8.43054144472435e-57
"Cdh5",1.40451655381906e-58,-1.54682302016898,0.379,0.065,4.21354966145719e-55
"Cenpa",2.01864744090134e-58,-2.97327954339995,0.297,0.055,6.05594232270401e-55
"Btf3-ps1",6.1779679028944e-58,-0.353291493955018,0.551,0.131,1.85339037086832e-54
"Cdk17",1.10194227517442e-57,-0.827614172023878,0.369,0.065,3.30582682552326e-54
"Abca8a",1.17424116785312e-57,-1.88133325020173,0.15,0.049,3.52272350355936e-54
"Rin3",1.71350270390439e-57,-1.36801643056269,0.375,0.064,5.14050811171317e-54
"Dapk1",3.49226359650057e-57,-1.70665915772712,0.514,0.092,1.04767907895017e-53
"Srsf9",1.93390542657812e-56,-0.866877882270705,0.193,0.076,5.80171627973437e-53
"Ruvbl2",3.74366629201017e-56,-1.29423857737056,0.262,0.06,1.12309988760305e-52
"Gja1",3.77733534059931e-56,-0.774113034460428,0.266,0.069,1.13320060217979e-52
"LOC134480579",5.63309921750987e-56,-2.2598357921019,0.287,0.027,1.68992976525296e-52
"Snrpc",8.05275383548405e-56,-1.70925326633953,0.33,0.082,2.41582615064521e-52
"Phf7",8.54649351096302e-56,-1.01282107772096,0.383,0.072,2.56394805328891e-52
"Tmem43",1.00653567469636e-55,-0.386931877507329,0.369,0.069,3.01960702408908e-52
"Dguok",1.37506746951836e-55,-1.57236427329096,0.293,0.087,4.12520240855509e-52
"Pomt1",1.85015588511915e-55,-2.32275339853113,0.385,0.045,5.55046765535746e-52
"Mettl13",5.18242747164651e-55,-2.09620020663794,0.27,0.047,1.55472824149395e-51
"Wdhd1",9.48796983372237e-55,-1.80098778357645,0.232,0.05,2.84639095011671e-51
"Ctps1",1.10258972483729e-54,-2.52552981963925,0.186,0.045,3.30776917451187e-51
