"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Adamts1",2.02158708318473e-15,-4.14867501981834,1,0.02,6.06476124955419e-12
"Hdgfl3",2.15134670751733e-15,-4.75388356299924,0.976,0.02,6.45404012255199e-12
"Foxf2",2.15134670751733e-15,4.4999360068161,0.857,0.02,6.45404012255199e-12
"Ldhb",2.28930075659558e-15,-3.62235804073919,0.857,0.02,6.86790226978674e-12
"Itga5",2.28930075659558e-15,-4.08549212865566,0.833,0.02,6.86790226978674e-12
"F3",2.59185812938426e-15,0.561379989484121,0.881,0.02,7.77557438815279e-12
"Pf4",2.9337127046507e-15,-3.27975751055086,0.857,0.02,8.8011381139521e-12
"Otud1",3.12091905112343e-15,-3.24140948066373,0.976,0.02,9.36275715337029e-12
"P2ry10",3.99472765882394e-15,-4.10478807091585,0.762,0.02,1.19841829764718e-11
"Zeb2",5.7746970486125e-15,-3.85814929336266,0.762,0.02,1.73240911458375e-11
"Tmem106b",6.52638328710191e-15,-4.18623297839108,0.905,0.02,1.95791498613057e-11
"Hspa1a",1.12864110269426e-14,-4.16433951902899,0.429,0.02,3.38592330808278e-11
"Eno2",1.43753707466588e-14,-3.90168553915166,0.952,0.02,4.31261122399764e-11
"Fbxo30",2.0627628940638e-14,-5.30607982916843,0.643,0.02,6.18828868219141e-11
"Pla2g2d",2.62115797256921e-14,-4.86563756226292,1,0.039,7.86347391770764e-11
"Map1b",2.78253394865285e-14,-1.55819326841472,0.952,0.039,8.34760184595854e-11
"Syp",2.95367203240302e-14,-4.22961171632983,0.952,0.039,8.86101609720905e-11
"Fkbp9",3.13515194627466e-14,-4.32098311103725,0.905,0.039,9.40545583882397e-11
"Pla1a",3.32758717528748e-14,-5.78781527419386,0.524,0.02,9.98276152586245e-11
"Inmt",3.97730725052914e-14,-3.985016890481,0.905,0.039,1.19319217515874e-10
"Igfbp3",3.97730725052914e-14,-3.94217314496178,0.571,0.039,1.19319217515874e-10
"Ltb",4.22044355778751e-14,-5.1981069687456,0.595,0.039,1.26613306733625e-10
"Tnfrsf11b",5.04094704602391e-14,-5.06525905718663,0.857,0.039,1.51228411380717e-10
"Sulf1",8.56246884992072e-14,-0.384920605548,0.905,0.039,2.56874065497622e-10
"Sntg2",9.62607668697772e-14,-6.34074621657362,0.619,0.039,2.88782300609332e-10
"Foxf1",1.28863390788343e-13,2.37679091587622,0.119,0.039,3.86590172365028e-10
"Rpl35a",2.2992219566047e-13,-4.10503690010838,0.976,0.039,6.89766586981409e-10
"Pld4",2.2992219566047e-13,2.97688783964155,0.929,0.059,6.89766586981409e-10
"Ogn",2.43548833283146e-13,-3.7140341313131,0.952,0.02,7.30646499849438e-10
"Ackr1",2.57967955244345e-13,-0.39224893358262,0.976,0.059,7.73903865733036e-10
"Mmrn2",2.73224740753077e-13,0.489274398359156,0.762,0.059,8.19674222259231e-10
"Bcat1",3.06444766374278e-13,-5.05744929123398,1,0.059,9.19334299122834e-10
"Osbpl5",3.06444766374278e-13,-3.70474821826823,1,0.059,9.19334299122834e-10
"Serpine1",3.06444766374278e-13,-4.26142159553911,1,0.059,9.19334299122834e-10
"Cma1",3.06444766374278e-13,-4.13476528360421,1,0.059,9.19334299122834e-10
"Etv1",3.06444766374278e-13,-6.59856719736132,1,0.059,9.19334299122834e-10
"Cdc42ep3",3.06444766374278e-13,-0.568180720544912,0.857,0.059,9.19334299122834e-10
"Pms1",3.06444766374278e-13,-5.4670315871605,0.762,0.059,9.19334299122834e-10
"Nab1",3.24511532319748e-13,-2.72208090302574,0.881,0.059,9.73534596959244e-10
"Cox6a2",3.43623311169531e-13,-4.67081820784844,0.929,0.059,1.03086993350859e-09
"Spry1",3.43623311169531e-13,-0.425234363034973,0.69,0.02,1.03086993350859e-09
"Speg",3.63839343401255e-13,-6.78180477993224,0.81,0.059,1.09151803020376e-09
"Cryab",3.85222156908166e-13,-4.61451010914027,0.857,0.059,1.1556664707245e-09
"Cldn5",4.31755755863623e-13,-5.7875166428351,0.929,0.059,1.29526726759087e-09
"Tnfrsf25",4.31755755863623e-13,-1.22720705562568,0.833,0.059,1.29526726759087e-09
"Lix1l",4.57049686911305e-13,-4.26386575380329,0.929,0.039,1.37114906073392e-09
"Fermt2",4.57049686911305e-13,1.06301255720276,0.881,0.059,1.37114906073392e-09
"Clic4",5.73601346622953e-13,-4.58889708207737,0.833,0.059,1.72080403986886e-09
"Plod2",6.79717036012787e-13,-0.538449248234294,0.5,0.059,2.03915110803836e-09
"Slc2a4",7.60932829604009e-13,-0.673242045435065,0.881,0.059,2.28279848881203e-09
"Tacc1",1.12748013018776e-12,-8.00395483311243,0.452,0.059,3.38244039056327e-09
"Fry",1.19234475902899e-12,-0.817875099431887,0.929,0.059,3.57703427708698e-09
"Eng",1.57574257046212e-12,-0.817374520814456,0.857,0.02,4.72722771138635e-09
"Rab12",2.45412692478117e-12,-4.42819112270195,0.5,0.059,7.36238077434351e-09
"Lcp1",2.45412692478117e-12,-6.60109192589358,0.333,0.039,7.36238077434351e-09
"Tcap",2.59318874989083e-12,-0.775917754553077,0.881,0.078,7.77956624967249e-09
"Tm4sf1",2.59318874989083e-12,-1.45764578412498,0.786,0.02,7.77956624967249e-09
"Lhfpl6",2.73997012220891e-12,-4.942078815039,0.833,0.059,8.21991036662673e-09
"Fhl1",2.89489033309591e-12,1.6456893045118,0.857,0.078,8.68467099928773e-09
"Gng11",3.05839092609637e-12,-0.861937812796186,0.238,0.039,9.1751727782891e-09
"Nnat",3.23093684896482e-12,-3.83560184882615,1,0.078,9.69281054689445e-09
"Dtnb",3.23093684896482e-12,-5.78290342190794,1,0.078,9.69281054689445e-09
"Mrm3",3.23093684896482e-12,-5.87324388296074,0.976,0.078,9.69281054689445e-09
"Mzt1",3.23093684896482e-12,-6.50728745574651,0.976,0.078,9.69281054689445e-09
"Bcat2",3.23093684896482e-12,-5.72693789271762,0.952,0.078,9.69281054689445e-09
"Thbs1",3.23093684896482e-12,-0.747018805423135,0.69,0.078,9.69281054689445e-09
"Tgfb1i1",3.41301766376424e-12,-2.53126999317662,0.976,0.078,1.02390529912927e-08
"Gsta1",3.41301766376424e-12,-4.19098758692635,0.929,0.078,1.02390529912927e-08
"Stmn2",3.60514881788073e-12,-6.28595256518085,0.976,0.078,1.08154464536422e-08
"Pde1b",3.60514881788073e-12,-4.96588786040501,0.952,0.078,1.08154464536422e-08
"Pltp",3.60514881788073e-12,-5.84264185871924,0.714,0.039,1.08154464536422e-08
"Tcf7",3.80787297893357e-12,-6.77893454828027,0.952,0.078,1.14236189368007e-08
"Mmp19",3.80787297893357e-12,-3.07420922695215,0.905,0.078,1.14236189368007e-08
"Rpl15l3",3.80787297893357e-12,-2.85230167824501,0.786,0.078,1.14236189368007e-08
"Axl",3.80787297893357e-12,-5.6359128091533,0.762,0.078,1.14236189368007e-08
"B3gnt4",3.80787297893357e-12,-4.46195130180866,0.619,0.078,1.14236189368007e-08
"Vcam1",4.02176143670063e-12,-4.41905032024709,0.881,0.078,1.20652843101019e-08
"Ppp1r1a",4.24741557532716e-12,-0.580330252788551,0.905,0.059,1.27422467259815e-08
"Dact3",4.48546841923949e-12,-1.06013200388401,0.976,0.059,1.34564052577185e-08
"Gucy1b1",4.48546841923949e-12,-1.72909726732616,0.905,0.078,1.34564052577185e-08
"Rbpms2",4.48546841923949e-12,-6.76419163619412,0.667,0.078,1.34564052577185e-08
"Exoc1",4.48546841923949e-12,1.69260634337516,0.429,0.078,1.34564052577185e-08
"Pja2",4.73658625634737e-12,-3.36789451635818,0.857,0.078,1.42097587690421e-08
"Cdh5",4.73658625634737e-12,-5.43569636038265,0.762,0.078,1.42097587690421e-08
"Pip4k2a",4.73658625634737e-12,0.534095664364517,0.667,0.059,1.42097587690421e-08
