"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","extracellular matrix organization","33/596","343/18954",0.0962099125364431,3.05966892989219,6.93599947480716,1.30841520599589e-08,2.22637153845024e-05,2.02009682373031e-05,"Adamts1/Foxf2/Tnfrsf11b/Sulf1/Foxf1/Cma1/Plod2/Eng/Lcp1/P4ha1/Ccn2/Ccdc80/Olfml2b/Postn/Aebp1/Vwf/Pdpn/Flot1/Eln/Lamb1/Tnfrsf1b/Col18a1/Grem1/Col6a5/Lamc1/Smoc1/Selenon/Ccn1/Col1a2/Adamts15/Clasp1/Mfap4/Mmp10",33
"GO:0043062","extracellular structure organization","33/596","344/18954",0.0959302325581395,3.05077454346808,6.9162929626244,1.4052418715234e-08,2.22637153845024e-05,2.02009682373031e-05,"Adamts1/Foxf2/Tnfrsf11b/Sulf1/Foxf1/Cma1/Plod2/Eng/Lcp1/P4ha1/Ccn2/Ccdc80/Olfml2b/Postn/Aebp1/Vwf/Pdpn/Flot1/Eln/Lamb1/Tnfrsf1b/Col18a1/Grem1/Col6a5/Lamc1/Smoc1/Selenon/Ccn1/Col1a2/Adamts15/Clasp1/Mfap4/Mmp10",33
"GO:0045229","external encapsulating structure organization","33/596","344/18954",0.0959302325581395,3.05077454346808,6.9162929626244,1.4052418715234e-08,2.22637153845024e-05,2.02009682373031e-05,"Adamts1/Foxf2/Tnfrsf11b/Sulf1/Foxf1/Cma1/Plod2/Eng/Lcp1/P4ha1/Ccn2/Ccdc80/Olfml2b/Postn/Aebp1/Vwf/Pdpn/Flot1/Eln/Lamb1/Tnfrsf1b/Col18a1/Grem1/Col6a5/Lamc1/Smoc1/Selenon/Ccn1/Col1a2/Adamts15/Clasp1/Mfap4/Mmp10",33
"GO:0042254","ribosome biogenesis","29/596","347/18954",0.0835734870317003,2.6578051563739,5.61577207704338,1.87497618531169e-06,0.00222794045219661,0.00202152037663737,"Rpl35a/Mrm3/Drosha/Abt1/Rpf2/Mphosph10/Gtf3a/Exosc2/Utp20/Ddx21/Nat10/Gar1/Esf1/Mettl17/Mtrex/Dhx37/Sdad1/Las1l/Nmd3/Urb1/Noc2l/Eri1/Nip7/Mettl16/Ak6/Rps4x/Pno1/Utp3/Nop14",29
"GO:0046697","decidualization","9/596","39/18954",0.230769230769231,7.33892617449664,7.13993491549939,2.57888750225146e-06,0.00245149045964023,0.00222435833615247,"Serpine1/Gjb2/Tppp3/Ghrl/Ptgis/Ptn/Gja1/Vim/Il11ra1",9
"GO:0006364","rRNA processing","21/596","216/18954",0.0972222222222222,3.09186241610738,5.57118786962758,4.91838605169489e-06,0.00347916382539444,0.00315681712218123,"Rpl35a/Mrm3/Drosha/Abt1/Rpf2/Mphosph10/Exosc2/Utp20/Ddx21/Nat10/Gar1/Esf1/Mtrex/Dhx37/Las1l/Urb1/Eri1/Mettl16/Ak6/Utp3/Nop14",21
"GO:0016072","rRNA metabolic process","23/596","252/18954",0.0912698412698413,2.90256471716203,5.47829116784061,5.12395261471936e-06,0.00347916382539444,0.00315681712218123,"Rpl35a/Mrm3/Drosha/Abt1/Rpf2/Mphosph10/Exosc2/Utp20/Ddx21/Nat10/Gar1/Polr1a/Esf1/Dis3l/Mtrex/Dhx37/Las1l/Urb1/Eri1/Mettl16/Ak6/Utp3/Nop14",23
"GO:0022613","ribonucleoprotein complex biogenesis","35/596","490/18954",0.0714285714285714,2.2715723873442,5.13837340458758,6.02464190041615e-06,0.00357939036908475,0.00324775761394802,"Rpl35a/Mrm3/Drosha/Abt1/Rpf2/Ptbp2/Mphosph10/Gtf3a/Exosc2/Utp20/Ddx21/Nat10/Gar1/Ruvbl2/Esf1/Dhx9/Mettl17/Mtrex/Dhx37/Sdad1/Las1l/Nmd3/Htatsf1/Nufip1/Urb1/Ythdc1/Noc2l/Eri1/Nip7/Mettl16/Ak6/Rps4x/Pno1/Utp3/Nop14",35
"GO:0031589","cell-substrate adhesion","29/596","378/18954",0.0767195767195767,2.43983700862895,5.0948635740411,9.96996227329406e-06,0.00526524785388519,0.0047774193489691,"Itga5/Foxf1/Serpine1/Fermt2/Thbs1/Axl/Vcam1/Ccn2/Ccdc80/Postn/Myadm/Vwf/Pdpn/Cdh11/Itga2b/Sirpa/Lamb1/Ldb1/Ptn/Akip1/Bcam/Grem1/Lamc1/Dmd/Smoc1/Ccn1/Macf1/Ptpra/Clasp1",29
"GO:0048566","embryonic digestive tract development","8/596","36/18954",0.222222222222222,7.06711409395973,6.56515872287174,1.26680394430965e-05,0.00602111914730376,0.00546325869456487,"Foxf2/Foxf1/Tcf7/Hlx/Pkdcc/Tcf21/Rarres2/Ovol2",8
"GO:0045765","regulation of angiogenesis","28/596","370/18954",0.0756756756756757,2.40663885361872,4.92337936622538,1.81753134944368e-05,0.00785338773082346,0.00712576644848876,"Adamts1/Itga5/F3/Pf4/Sulf1/Serpine1/Cma1/Cldn5/Eng/Thbs1/Cdh5/Hspb6/Pik3cd/Ghrl/Ptgis/Anxa3/Tgfbr2/Ptn/Krit1/Htatip2/Grem1/Jmjd8/Chi3l1/Klf2/Ccn1/Tspan12/Lrg1/Epn2",28
